round,tick,weapon_name,is_headshot,penetration_amount,has_replay,is_flash_assist,is_through_smoke,is_attacker_blind,is_noscope,second,player_id_fixed,attacker_id_fixed,assister_id_fixed,player_x_pos,player_y_pos,player_z_pos,player_x_vel,player_y_vel,player_z_vel,player_phi_ang,player_theta_ang,player_weapon_code,player_team_code,attacker_x_pos,attacker_y_pos,attacker_z_pos,attacker_x_vel,attacker_y_vel,attacker_z_vel,attacker_phi_ang,attacker_theta_ang,attacker_weapon_code,attacker_team_code,assister_x_pos,assister_y_pos,assister_z_pos,assister_x_vel,assister_y_vel,assister_z_vel,assister_phi_ang,assister_theta_ang,assister_weapon_code,assister_team_code
1,2301,usp_silencer,True,0,False,0,0,0,0,35.953125,4,5,,-756.926025390625,1442.1785888671875,-111.96875,2.38671875,110.9375,0.0,75.79879760742188,4.289825439453125,4,2,-120.528076171875,1423.0477294921875,-0.42340087890625,155.296875,-12.21875,0.05078125,100.83114624023438,179.2347412109375,61,3,,,,,,,,,,
1,2322,usp_silencer,True,0,False,0,0,0,0,36.28125,6,7,,-2035.8212890625,1128.4725341796875,36.35126495361328,0.0,0.0,0.0,90.50605773925781,82.5643310546875,4,2,-1965.8135986328125,1732.3746337890625,32.26858139038086,75.28125,-9.0390625,0.0400390625,91.20437622070312,-96.61685943603516,61,3,,,,,,,,,,
1,2460,usp_silencer,True,0,False,0,0,0,0,38.4375,9,7,,-1898.8184814453125,1271.156005859375,31.648906707763672,58.6015625,15.9140625,1.066650390625,91.52127075195312,106.74969482421875,36,2,-1980.2806396484375,1624.9576416015625,31.67407989501953,-96.4375,-14.2265625,-4.8515625,90.208740234375,-78.61370086669922,61,3,,,,,,,,,,
1,2628,usp_silencer,True,0,False,0,0,0,0,41.0625,8,7,,-1776.4189453125,1100.1890869140625,33.47871780395508,-128.84375,-69.0859375,7.876953125,90.22006225585938,124.63748168945312,4,2,-2012.37353515625,1488.09765625,32.836570739746094,27.4296875,12.0859375,-2.10595703125,89.88739013671875,-57.52716064453125,61,3,,,,,,,,,,
1,2725,glock,True,0,False,0,0,0,0,42.578125,7,2,6,-1986.2982177734375,1304.0311279296875,29.748489379882812,0.015625,-47.953125,1.29345703125,87.07695007324219,14.501953125,61,3,-1683.777587890625,1385.365478515625,42.806732177734375,10.2890625,-46.8515625,-2.84716796875,92.503173828125,-166.20083618164062,4,2,,,,,,,,,,
1,3294,elite,True,0,False,0,0,0,0,51.46875,2,1,,-1668.119873046875,2068.0732421875,-6.498779296875,95.09375,-220.359375,6.63671875,92.70709228515625,25.559005737304688,4,2,-1107.999755859375,2283.3037109375,-1.66998291015625,-49.8671875,182.265625,13.48828125,91.48727416992188,-159.42913818359375,2,3,,,,,,,,,,
2,6912,m4a1_silencer,True,0,False,0,0,0,0,108.0,9,5,,-1623.860595703125,1780.8028564453125,0.4311356544494629,-88.2109375,-48.8984375,6.112396240234375,87.67056274414062,57.008392333984375,1,2,-1181.6749267578125,2468.276611328125,38.777652740478516,0.0,0.0,0.0,94.10372924804688,-121.8819808959961,60,3,,,,,,,,,,
2,6937,p90,True,0,False,0,0,0,0,108.390625,2,1,,-453.57598876953125,1480.826416015625,-125.99969482421875,34.98828125,10.3671875,-0.24609375,86.85653686523438,15.11065673828125,4,2,-307.69329833984375,606.5087890625,0.4327864646911621,0.0,0.0,0.0,102.64183044433594,100.08648681640625,19,3,,,,,,,,,,
2,7213,m4a1_silencer,False,0,False,0,0,0,0,112.703125,4,5,,-1935.9759521484375,2345.96826171875,1.6976079940795898,-14.828125,-37.921875,-5.82666015625,92.86709594726562,-21.320343017578125,64,2,-1398.482421875,2120.681884765625,2.1432619094848633,-3.3828125,-8.203125,0.343994140625,92.42179870605469,157.62496948242188,60,3,,,,,,,,,,
2,7254,ssg08,False,0,False,0,0,0,1,113.34375,6,7,,-1949.782958984375,2901.739013671875,31.827938079833984,0.0,0.0,0.0,82.52001953125,-22.647979736328125,4,2,-1259.6572265625,2633.21826171875,127.51639556884766,0.0,0.0,0.0,97.867919921875,159.25677490234375,40,3,,,,,,,,,,
2,8386,m4a1_silencer,True,0,False,0,0,0,0,131.03125,8,5,7,-2024.12060546875,1089.8934326171875,38.03059768676758,-97.4140625,86.5703125,2.900634765625,94.60395812988281,43.314971923828125,4,2,-1997.5413818359375,1491.15234375,31.73957061767578,0.0,0.0,0.0,92.15263366699219,-92.16293334960938,60,3,-1701.519287109375,1303.141845703125,38.09766387939453,63.0859375,-181.8515625,-10.66162109375,95.9364013671875,-139.36398315429688,42,3
3,10377,awp,True,0,False,0,0,0,0,162.140625,8,10,,-65.4317626953125,406.6244201660156,-1.35791015625,64.90234375,46.322265625,0.203125,95.99510192871094,125.4127197265625,30,2,-463.2352294921875,987.092529296875,-47.705810546875,25.46875,16.73828125,-6.4375,85.760986328125,-56.38526916503906,9,3,,,,,,,,,,
3,11317,galilar,True,0,False,0,1,0,0,176.828125,10,4,,-443.4827880859375,-373.8466796875,0.3691866397857666,33.58984375,21.0625,0.0412139892578125,86.98768615722656,-37.97802734375,9,3,-57.028076171875,-671.9827270507812,20.07291030883789,0.0,0.0,0.0,96.27423095703125,141.84689331054688,13,2,,,,,,,,,,
3,11338,p90,True,0,False,0,0,0,0,177.15625,6,1,,1062.9349365234375,486.8538513183594,3.8706493377685547,0.0,0.0,0.0,93.0140380859375,70.22152709960938,7,2,1297.42578125,1333.53515625,1.03125,-205.0234375,91.1875,0.0,97.81814575195312,-104.14592742919922,19,3,,,,,,,,,,
3,11472,p90,True,0,False,0,0,0,0,179.25,9,1,,1260.087890625,1075.642333984375,-0.20318603515625,-50.421875,16.765625,-0.3515625,92.99514770507812,70.32211303710938,25,2,1484.8009033203125,1594.9896240234375,-8.6202392578125,28.65625,-9.515625,-0.88671875,96.02943420410156,-112.70771026611328,19,3,,,,,,,,,,
3,13113,galilar,True,0,False,0,0,0,0,204.890625,5,4,,586.8082885742188,726.9664306640625,1.124380111694336,-13.41796875,-8.484375,0.075836181640625,91.37911987304688,-82.8420639038086,60,3,606.1814575195312,538.9066162109375,1.119004726409912,-10.0390625,-0.9609375,0.05352783203125,98.73654174804688,95.49969482421875,13,2,,,,,,,,,,
3,13256,awp,True,0,False,0,0,0,0,207.125,7,2,,-398.4822998046875,1441.1182861328125,-86.296875,0.0,0.0,384.0,100.10845947265625,-77.44743347167969,40,3,-440.9114990234375,-234.901611328125,0.42902088165283203,-13.63671875,0.38671875,-0.160064697265625,92.305419921875,88.53778076171875,9,2,,,,,,,,,,
3,14363,ak47,False,0,False,0,0,0,0,224.421875,2,1,,686.112060546875,905.82275390625,-0.44476318359375,4.6328125,-15.1171875,-0.03515625,92.03659057617188,17.058685302734375,4,2,1166.7557373046875,678.9181518554688,7.917101860046387,6.015625,11.80859375,0.11846923828125,97.6173095703125,154.49832153320312,7,3,,,,,,,,,,
3,14429,m4a1_silencer,False,0,False,0,0,0,0,225.453125,4,3,5,644.072021484375,737.788818359375,0.810978889465332,78.32421875,-50.83203125,-0.39459228515625,91.82167053222656,33.838226318359375,13,2,1388.4495849609375,1149.1083984375,-9.31719970703125,-6.7578125,9.2578125,0.10546875,89.89425659179688,-152.57022094726562,60,3,,,,,,,,,,
